lsoa11cd,lsoa_name_2,lad19cd,lad19nm,wimd_deciles,wimd_income_domain_deciles,wimd_employment_domain_deciles,wimd_health_domain_deciles,wimd_education_domain_deciles,wimd_access_to_services_domain_deciles,wimd_housing_domain_deciles,wimd_physical_environment_domain_deciles,wimd_community_safety_domain_deciles,region_name
W01001261,Rhondda Cynon Taf 018F,W06000016,Rhondda Cynon Taf,2,2,2,2,3,5,1,4,3,South East Wales
W01000273,Flintshire 007A,W06000005,Flintshire,4,4,5,5,2,9,3,5,3,North Wales
W01000602,Pembrokeshire 013C,W06000009,Pembrokeshire,5,5,4,4,4,6,6,5,2,Mid and South West Wales
W01000717,Carmarthenshire 016E,W06000010,Carmarthenshire,5,5,4,5,4,5,7,4,7,Mid and South West Wales
W01001333,Caerphilly 018D,W06000018,Caerphilly,2,2,3,2,2,6,1,9,4,South East Wales
W01000724,Carmarthenshire 011C,W06000010,Carmarthenshire,5,5,4,5,5,2,4,8,10,Mid and South West Wales
W01001882,Cardiff 011C,W06000015,Cardiff,7,6,8,6,5,10,10,1,6,South East Wales
W01001417,Caerphilly 008D,W06000018,Caerphilly,9,9,8,6,7,9,10,4,6,South East Wales
W01000374,Wrexham 003A,W06000006,Wrexham,4,4,4,3,2,5,5,10,3,North Wales
W01000401,Wrexham 005D,W06000006,Wrexham,4,3,5,5,3,8,5,10,1,North Wales
W01001371,Caerphilly 022A,W06000018,Caerphilly,2,2,2,2,1,3,6,2,2,South East Wales
W01000536,Ceredigion 011E,W06000008,Ceredigion,4,5,6,8,5,1,1,6,9,Mid and South West Wales
W01000637,Carmarthenshire 007A,W06000010,Carmarthenshire,4,3,4,3,4,4,5,8,5,Mid and South West Wales
W01000656,Carmarthenshire 010A,W06000010,Carmarthenshire,4,3,3,4,4,6,4,6,7,Mid and South West Wales
W01001184,Rhondda Cynon Taf 026A,W06000016,Rhondda Cynon Taf,6,6,7,5,6,7,5,2,6,South East Wales
W01000478,Powys 009A,W06000023,Powys,3,2,3,2,2,3,9,9,3,Mid and South West Wales
W01001399,Caerphilly 023E,W06000018,Caerphilly,8,6,6,6,8,8,9,2,8,South East Wales
W01000282,Flintshire 010C,W06000005,Flintshire,10,10,10,10,8,9,10,9,9,North Wales
W01000525,Ceredigion 011A,W06000008,Ceredigion,10,10,10,10,10,6,10,10,9,Mid and South West Wales
